SCATTER.T,SCATTER.C,FLOATING.T,FLOATING.C,DIFFERENT.T,DIFFERENT.C,ORDERED.SCATTER.T,ORDERED.SCATTER.C
incorrect,incorrect,correct,correct,correct,correct,correct,correct
incorrect,incorrect,correct,incorrect,correct,incorrect,correct,incorrect
incorrect,correct,correct,correct,correct,correct,correct,correct
correct,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect
correct,incorrect,incorrect,incorrect,correct,correct,correct,incorrect
correct,correct,incorrect,incorrect,incorrect,correct,correct,correct
correct,correct,incorrect,correct,correct,correct,incorrect,correct
incorrect,incorrect,incorrect,correct,correct,correct,incorrect,correct
correct,correct,correct,incorrect,correct,correct,incorrect,correct
correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect
correct,incorrect,incorrect,correct,correct,correct,correct,incorrect
correct,correct,correct,correct,correct,correct,correct,correct
incorrect,correct,correct,incorrect,incorrect,correct,correct,correct
correct,incorrect,incorrect,correct,incorrect,correct,correct,correct
correct,incorrect,correct,correct,correct,correct,incorrect,incorrect
correct,correct,incorrect,incorrect,correct,correct,incorrect,incorrect
correct,correct,incorrect,correct,correct,correct,incorrect,incorrect
correct,correct,incorrect,incorrect,correct,correct,correct,incorrect
correct,correct,incorrect,incorrect,incorrect,correct,correct,correct
correct,correct,correct,incorrect,correct,incorrect,correct,correct
incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect,correct
correct,correct,,incorrect,correct,incorrect,correct,correct
incorrect,incorrect,,correct,correct,correct,correct,incorrect
incorrect,correct,,correct,,correct,incorrect,
correct,,,correct,,correct,correct,
correct,,,incorrect,,correct,correct,
incorrect,,,correct,,correct,incorrect,
,,,correct,,correct,incorrect,
,,,correct,,,,
,,,correct,,,,
